DATE,CPI_all_items,Rent_of_Primary_residence,Monthly_Housing_Cost,CPI_Energy,US_Dollar_Purchasing_power
1997-01-01,159.4,179.4,160.4,155.3,62.8
1997-02-01,159.7,180.1,161.1,155.6,62.6
1997-03-01,159.8,180.3,161.0,156.0,62.5
1997-04-01,159.9,180.7,160.9,156.2,62.4
1997-05-01,159.9,181.4,161.1,156.3,62.5
1997-06-01,160.2,182.5,161.7,156.6,62.4
1997-07-01,160.4,183.5,161.7,157.1,62.3
1997-08-01,160.8,184.2,162.5,157.4,62.2
1997-09-01,161.2,184.9,162.1,157.8,62.0
1997-10-01,161.5,185.6,162.5,158.2,61.9
1997-11-01,161.7,186.2,162.9,158.6,61.9
1997-12-01,161.8,186.2,162.8,159.0,62.0
1998-01-01,162.0,187.1,162.8,159.2,61.9
1998-02-01,162.0,187.4,163.1,159.6,61.8
1998-03-01,162.0,188.1,164.1,159.9,61.7
1998-04-01,162.2,188.3,164.8,160.2,61.5
1998-05-01,162.6,188.9,165.6,160.6,61.4
1998-06-01,162.8,190.1,166.0,160.7,61.4
1998-07-01,163.2,190.2,166.5,161.1,61.3
1998-08-01,163.4,190.9,165.4,161.5,61.2
1998-09-01,163.5,191.7,165.3,162.1,61.1
1998-10-01,163.9,192.6,165.7,162.3,61.0
1998-11-01,164.1,192.9,165.4,162.6,61.0
1998-12-01,164.4,193.1,165.1,163.0,61.0
1999-01-01,164.7,194.6,166.1,163.5,60.8
1999-02-01,164.7,195.2,166.4,163.8,60.8
1999-03-01,164.8,196.1,167.0,164.2,60.6
1999-04-01,165.9,196.7,167.6,164.5,60.2
1999-05-01,166.0,196.7,168.2,164.6,60.2
1999-06-01,166.0,197.5,168.9,164.6,60.2
1999-07-01,166.7,197.5,169.4,165.1,60.0
1999-08-01,167.1,197.7,169.3,165.6,59.8
1999-09-01,167.8,198.5,169.7,165.8,59.6
1999-10-01,168.1,199.1,169.7,166.2,59.4
1999-11-01,168.4,199.4,169.3,166.5,59.4
1999-12-01,168.8,200.4,169.2,166.8,59.4
2000-01-01,169.3,201.3,170.2,167.2,59.2
2000-02-01,170.0,201.7,171.4,167.6,58.9
2000-03-01,171.0,202.3,172.2,167.9,58.4
2000-04-01,170.9,202.0,171.9,168.1,58.4
2000-05-01,171.2,203.0,173.7,168.3,58.3
2000-06-01,172.2,203.4,176.0,168.6,58.0
2000-07-01,172.7,204.8,174.6,169.1,57.9
2000-08-01,172.7,206.1,173.7,169.5,57.9
